id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
2856,4925,13,PH,PHARMACEUTICAL TECHNOLOGY,30,2025,No,,
2857,4927,1,CE,CIVIL ENGINEERING,30,2010,No,,
2858,4927,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2008,No,,
2859,4927,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2008,No,,
2860,4927,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2008,No,,
2861,4927,5,ME,MECHANICAL ENGINEERING,60,2009,No,,
2862,4927,6,AU,AUTOMOBILE ENGINEERING,30,2012,No,,
2863,4927,7,AL,Artificial Intelligence and Machine Learning,30,2025,No,,
2864,4927,8,IT,INFORMATION TECHNOLOGY,30,2025,No,,
2865,4927,9,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2025,No,,
2866,4927,10,BM,BIO MEDICAL ENGINEERING,60,2026,,,**
2867,4927,11,BT,BIO TECHNOLOGY,30,2026,,,**
2868,4927,12,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2026,,,**
2869,4928,1,CE,CIVIL ENGINEERING,60,2009,No,,
2870,4928,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,2009,Yes,2028,
2871,4928,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
2872,4928,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2012,No,,
2873,4928,5,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2022,No,,
2874,4928,6,ME,MECHANICAL ENGINEERING,60,2009,Yes,2028,
2875,4929,1,CS,COMPUTER SCIENCE AND ENGINEERING,90,2009,No,,
2876,4929,2,CE,CIVIL ENGINEERING,60,2010,No,,
2877,4929,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
2878,4929,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
2879,4929,5,ME,MECHANICAL ENGINEERING,60,2009,No,,
2880,4929,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2023,No,,
2881,4931,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2022,No,,
2882,4931,2,CE,CIVIL ENGINEERING,30,2010,No,,
2883,4931,3,CS,COMPUTER SCIENCE AND ENGINEERING,60,2009,No,,
2884,4931,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2009,No,,
2885,4931,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2009,No,,
2886,4931,6,ME,MECHANICAL ENGINEERING,30,2009,No,,
2887,4932,1,AE,AERONAUTICAL ENGINEERING,30,2013,No,,##
2888,4932,2,CE,CIVIL ENGINEERING,30,2010,No,,
2889,4932,3,CS,COMPUTER SCIENCE AND ENGINEERING,60,2009,No,,##
2890,4932,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2009,No,,##
2891,4932,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2009,No,,##
